seed,success,termination/status,checkpoint,log_path,actions,tactile_changes
1000000,0,timeout,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,300,299
1000001,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,196,195
1000002,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,80,79
1000003,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,140,139
1000004,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,230,229
1000005,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,155,154
1000006,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,189,188
1000007,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,258,257
1000008,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,133,132
1000009,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,170,169
1000010,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,138,137
1000011,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,166,165
1000012,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,130,129
1000013,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,193,192
1000014,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,162,161
1000015,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,200,199
1000016,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,114,113
1000017,0,timeout,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,300,0
1000018,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,138,137
1000019,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,185,184
1000020,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,177,176
1000021,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,126,125
1000022,0,early_stop,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,261,260
1000023,1,success,786021c67c63ec246c2f4663e6428335b0953c16f180b4810284b2e4f56e7f2e,eval_1000000_1000099/results/log.log,183,182
