seed,success,termination/status,checkpoint,log_path,actions,tactile_changes
1000000,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,171,170
1000001,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,195,194
1000002,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,140,139
1000003,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,160,159
1000004,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,188,187
1000005,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,293,292
1000006,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,145,144
1000007,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,206,205
1000008,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,178,177
1000009,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,180,179
1000010,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,171,170
1000011,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,263,262
1000012,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,188,187
1000013,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,178,177
1000014,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,214,213
1000015,0,timeout,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,300,299
1000016,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,186,185
1000017,0,early_stop,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,176,175
1000018,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,234,233
1000019,1,success,951b1f2a80230deef1efd326b7c89690bc44adec1a3d195bc34d13df8182e6a3,eval_1000000_1000099/results/log.log,236,235
